condition,trial,beta,g,alpha,delay_ms,phi_final,phi_mean,phi_max,stability
Controle,49,0.8636790738115927,1.9003562730318755,4.545469683539463e-12,99.85238261942784,9.218584026288098e-11,1.0187445202784882e-08,4.103253370452071e-08,0.9999999869078096
Controle,50,0.7519718651826486,1.6410593222807601,4.110624503420768e-12,98.32078941026754,1.2745674108285115e-09,1.2755821125676103e-08,4.1352250624130674e-08,0.999999988649802
Controle,51,0.8376408645133459,1.9016978844369634,4.6272087671223104e-12,105.29520792387663,9.35522185248646e-10,1.5550978522830684e-08,4.220089854534195e-08,0.9999999873148643
Controle,52,0.787070498785012,1.7658192370986328,4.537743284389612e-12,95.41372955451361,3.4115342976952606e-10,8.382829674704493e-09,4.334021909057618e-08,0.9999999873875104
Controle,53,0.8331991049264704,1.7067254272895487,4.256110075457091e-12,98.99489023209192,6.792530755195577e-10,8.917289936488726e-09,4.441867726391794e-08,0.9999999873790825
Controle,54,0.7375657126485186,1.5610391659195975,4.3591771676163896e-12,94.57475905674066,1.2238928767371075e-08,2.0404682365078977e-08,5.768710767685845e-08,0.9999999845477545
Controle,55,0.874549119450875,1.6560567227737473,4.468448745458425e-12,94.20654389665948,2.4653124311281244e-10,9.425739275914774e-09,4.061648514177581e-08,0.9999999877814237
Controle,56,0.857317066861577,1.8053189353569146,4.550189158011659e-12,102.99930182524352,3.285013685521231e-10,1.0218312608133251e-08,4.477144988513558e-08,0.9999999868733926
Controle,57,0.8298607060041479,1.856510791253281,4.203558716351481e-12,98.4565684971825,1.1717996766089092e-09,1.5942035680094065e-08,3.8249659930312104e-08,0.9999999883085581
Controle,58,0.8454686725496712,1.8384903000608015,4.229452522666134e-12,102.42628453239587,7.061600361264343e-10,1.0495468754348692e-08,3.7928154168956295e-08,0.9999999881145484
Controle,59,0.8598504493532493,1.8911944529540303,4.2480147813413355e-12,90.64746302431304,2.0089467512686705e-09,1.5080473637437575e-08,3.851163165099784e-08,0.9999999898183641
Controle,60,0.8180105325304783,1.6705887905298202,4.405440676312324e-12,100.60933043221527,9.288421656839693e-10,1.3624692706348534e-08,3.9462675925386e-08,0.9999999876159341
Controle,61,0.8612139248124102,1.6178272278592862,3.854721782121511e-12,101.35627240949047,1.797950313810658e-10,8.5154301430657e-09,3.738556273318519e-08,0.9999999887843581
Controle,62,0.7740816277625883,1.6519382174069914,4.041029411833674e-12,99.70286115453148,1.6622931808256683e-10,9.087496583054414e-09,3.7638092132807764e-08,0.9999999881979872
Controle,63,0.7704628258452196,1.7246845698086157,4.593462615928153e-12,105.67613679111996,6.87532572398478e-11,9.078936712433563e-09,3.817936313915636e-08,0.9999999873859146
Controle,64,0.8220143345751936,1.7363526355370482,4.184135845088767e-12,101.1583602050903,2.4683304997890595e-09,1.2440037818476922e-08,3.5746546994871844e-08,0.9999999908256741
Controle,65,0.796296437455573,1.836687062729466,4.437332666845151e-12,93.66634783967581,2.287275115066677e-10,1.0164468587376147e-08,4.369665553395902e-08,0.9999999868025922
Controle,66,0.8455208316484837,1.7412397010304974,4.283837103670328e-12,108.09251055528222,3.637860949231059e-10,1.1758021954891934e-08,4.232579510121519e-08,0.9999999871220723
Controle,67,0.7444786067124152,1.6060715499877554,3.927758142218671e-12,101.03173292203489,1.5132155412707824e-10,1.0680066422008938e-08,4.026876115458047e-08,0.9999999855529367
Controle,68,0.7504819053908984,1.7948453539755345,4.691217656674905e-12,95.51593688246722,2.7571897303932143e-10,1.1808871184878813e-08,3.758765385249314e-08,0.9999999870078338
